Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
15159960,Of Ants and Dinosaurs (short story),Liu Cixin,"Cixin, Liu",Holger Nahm,"=""""","=""""",0,3.87,"Beijing Guomi Digital Technology Co., Ltd.",Kindle Edition,55,2012,2004,2023/08/12,2023/07/05,,,read,,,,1,0
34066800,Total Cat Mojo: The Ultimate Guide to Life with Your Cat,Jackson Galaxy,"Galaxy, Jackson",,"=""0143131613""","=""9780143131618""",0,4.33,Tarcher,Paperback,365,2017,2017,,2023/08/11,,,read,,,,1,0
6509912,Barbarzyńca w ogrodzie,Zbigniew Herbert,"Herbert, Zbigniew",,"=""8391797996""","=""9788391797990""",0,4.29,Zeszyty Literackie,Paperback,226,2004,1962,2023/08/10,2023/08/10,,,read,,,,1,0
15730052,Red Country,Joe Abercrombie,"Abercrombie, Joe",,"=""""","=""""",0,4.32,Orbit,ebook,452,2012,2012,2023/08/10,2023/08/01,,,read,,,,1,0
145302,Kindergeschichten,Peter Bichsel,"Bichsel, Peter",,"=""3518391429""","=""9783518391426""",0,3.91,Suhrkamp,Paperback,86,1997,1969,2023/08/06,2023/07/09,,,read,,,,1,0
9300768,The Heroes,Joe Abercrombie,"Abercrombie, Joe",,"=""0316123358""","=""9780316123358""",0,4.35,Orbit,ebook,581,2011,2011,2023/08/01,2023/06/18,,,read,,,,1,0
122999212,Nie jestem twoim Polakiem. Reportaż z Norwegii,Ewa Sapieżyńska,"Sapieżyńska, Ewa",Ilona Wiśniewska,"=""8367075919""","=""9788367075916""",0,3.56,Wydawnictwo Krytyki Politycznej,Paperback,196,2023,2022,2023/08/01,2023/07/27,,,read,,,,1,0
45234,The Gun Seller,Hugh Laurie,"Laurie, Hugh",,"=""067102082X""","=""9780671020828""",0,3.67,Washington Square Press,Paperback,340,1998,1996,,2023/07/27,to-read,to-read (#673),to-read,,,,0,0
52950915,Die with Zero: Getting All You Can from Your Money and Your Life,Bill  Perkins,"Perkins, Bill",,"=""0358099765""","=""9780358099765""",0,3.89,Houghton Mifflin Harcourt,Hardcover,240,2020,2020,,2023/07/26,to-read,to-read (#672),to-read,,,,0,0
41317431,A Template for Understanding Big Debt Crises,Ray Dalio,"Dalio, Ray",,"=""""","=""""",0,4.35,Bridgewater,Kindle Edition,456,2018,2018,,2023/07/16,to-read,to-read (#671),to-read,,,,0,0
52962238,Principles for Dealing with the Changing World Order: Why Nations Succeed and Fail,Ray Dalio,"Dalio, Ray",,"=""1982160276""","=""9781982160272""",0,4.27,Avid Reader Press / Simon & Schuster,Hardcover,576,2021,2021,,2023/07/16,to-read,to-read (#670),to-read,,,,0,0
34536488,Principles: Life and Work,Ray Dalio,"Dalio, Ray",Jeremy Bobb,"=""1508243247""","=""9781508243243""",0,4.10,Simon & Schuster Audio,Audio CD,16,2017,2017,,2023/07/16,to-read,to-read (#669),to-read,,,,0,0
25451264,"Death's End (Remembrance of Earth’s Past, #3)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377101""","=""9780765377104""",0,4.40,TOR,Hardcover,604,2016,2010,2023/07/16,2023/07/03,,,read,,,,1,0
25499718,"Children of Time (Children of Time, #1)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1447273281""","=""9781447273288""",0,4.30,PanMacmillan,Hardcover,600,2015,2015,,2023/07/15,to-read,to-read (#668),to-read,,,,0,0
62974232,Bliscy,Annie Ernaux,"Ernaux, Annie",Agata Kozak,"=""838191616X""","=""9788381916165""",0,4.15,Czarne,Hardcover,176,2022,2022,,2023/07/10,,,read,,,,1,0
11323240,L'Autre Fille,Annie Ernaux,"Ernaux, Annie",,"=""2841115399""","=""9782841115396""",0,3.96,Nil,Paperback,78,2011,2011,2023/07/10,2023/07/09,,,read,,,,1,0
12431313,Der Fall Collini,Ferdinand von Schirach,"Schirach, Ferdinand von",,"=""3492054757""","=""9783492054751""",0,4.15,Piper,Hardcover,208,2011,2011,2023/07/07,2023/06/12,,,read,,,,1,0
23168817,"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin,"Cixin, Liu",Joel Martinsen,"=""""","=""""",0,4.40,Tor Books,Hardcover,512,2015,2008,2023/07/05,2019/08/18,,,read,,,,1,0
968,"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,"Brown, Dan",,"=""""","=""""",0,3.94,Anchor,Paperback,489,2006,2003,,2023/07/03,to-read,to-read (#667),to-read,,,,0,0
61091128,Żywot i śmierć pana Hersha Libkina z Sacramento w stanie Kalifornia,Ishbel Szatrawska,"Szatrawska, Ishbel",,"=""836712104X""","=""9788367121040""",0,4.34,Cyranka,Paperback,203,2022,2022,2023/06/29,2023/01/16,,,read,,,,1,0
54911057,Fangs,Sarah Andersen,"Andersen, Sarah",,"=""""","=""""",0,4.20,Andrews McMeel Publishing,Kindle Edition,115,2020,2020,,2023/06/28,to-read,to-read (#666),to-read,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0735243344""","=""9780735243347""",0,4.11,Knopf,Hardcover,399,2022,2022,2023/06/25,2023/05/16,,,read,,,,1,0
2315892,Best Served Cold,Joe Abercrombie,"Abercrombie, Joe",,"=""0575082453""","=""9780575082458""",0,4.25,Gollancz,Hardcover,534,2009,2009,2023/06/17,2023/06/11,,,read,,,,1,0
58446227,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0593321448""","=""9780593321447""",0,4.05,Knopf,Hardcover,259,2022,2022,,2023/06/16,to-read,to-read (#665),to-read,,,,0,0
59364173,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""""","=""""",0,4.43,Simon & Schuster,ebook,320,2022,2022,,2023/06/16,to-read,to-read (#664),to-read,,,,0,0
29496076,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,"Grann, David",,"=""0385534256""","=""9780385534253""",0,4.14,Doubleday,ebook,359,2017,2017,,2023/06/15,to-read,to-read (#663),to-read,,,,0,0
36556202,The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting up a Generation for Failure,Jonathan Haidt,"Haidt, Jonathan",Greg Lukianoff,"=""0735224900""","=""9780735224902""",0,4.23,Penguin Press,Kindle Edition,352,2018,2018,,2023/06/15,to-read,to-read (#662),to-read,,,,0,0
11324722,The Righteous Mind: Why Good People Are Divided by Politics and Religion,Jonathan Haidt,"Haidt, Jonathan",,"=""""","=""""",4,4.19,Pantheon,Hardcover,419,2012,2012,2018/07/15,2018/04/10,,,read,,,,1,0
642231,Measuring the World,Daniel Kehlmann,"Kehlmann, Daniel","Carol Brown Janeway, Ilona Nykyri","=""0375424466""","=""9780375424465""",0,3.73,Pantheon,Hardcover,259,2006,2005,,2023/06/14,to-read,to-read (#661),to-read,,,,0,0
6783729,Verbrechen,Ferdinand von Schirach,"Schirach, Ferdinand von",,"=""3492053629""","=""9783492053624""",0,4.25,Piper,Hardcover,208,2009,2009,2023/06/12,2023/05/19,,,read,,,,1,0
59452779,A Woman's Story,Annie Ernaux,"Ernaux, Annie",Tanya Leslie,"=""""","=""""",0,4.24,Seven Stories Press,Paperback,104,2003,1988,2023/06/09,2023/06/08,,,read,,,,1,0
